x,y
0.973187686,0.005715604
0.973684211,0.004785887
0.974180735,0.004508541
0.974677259,0.004838061
0.975173784,0.005703835
0.975670308,0.006732041
0.976166832,0.007327925
0.976663357,0.006958783
0.977159881,0.006759501
0.977656405,0.007602134
0.978152929,0.008837054
0.978649454,0.009518457
0.979145978,0.01083164
0.979642502,0.013208315
0.980139027,0.013738006
0.980635551,0.015563989
0.981132075,0.014643182
0.9816286,0.016644309
0.982125124,0.014329746
0.982621648,0.017079614
0.983118173,0.018315121
0.983614697,0.018770855
0.984111221,0.019657454
0.984607746,0.02211047
0.98510427,0.024923838
0.985600794,0.02969431
0.986097319,0.028856654
0.986593843,0.026205136
0.987090367,0.030007461
0.987586892,0.033410247
0.988083416,0.03466722
0.98857994,0.03683833
0.989076465,0.041037274
0.989572989,0.04276985
0.990069513,0.054299398
0.990566038,0.070694731
0.991062562,0.083134533
0.991559086,0.092532593
0.992055611,0.099014347
0.992552135,0.105211474
0.993048659,0.11639597
0.993545184,0.128658268
0.994041708,0.141181096
0.994538232,0.159339018
0.995034757,0.18752073
0.995531281,0.219086023
0.996027805,0.263624181
0.99652433,0.340236752
0.997020854,0.440222612
0.997517378,0.488604728
0.998013903,0.583269595
0.998510427,0.723568697
0.999006951,0.817166651
0.999503476,0.916538564
1,1
